premise,hypothesis,gold_label,predicted_label
[I]n You're the Top Porter does not capitalize on the text's potential for realism.,You're the Top Porter intentionally ignored the potential for realism. ,neutral,neutral
so do you have do you have the long i guess not not if there's see i was raised in New York but i guess up there you all don't have too long of a growing season do you,I have no knowledge of how growing seasons vary across the country.,neutral,entailment
Companies that were foreign had to accept Indian financial participation and management.,Foreign companies had to take Indian money.,entailment,entailment
"For centuries, the Loire river was a vital highway between the Atlantic and the heart of France.",The Loire stopped being a vital highway shortly after the revolution.,neutral,neutral
and i need to be better because uh uh we just bought it my wife and i just bought a new car and uh you know we want to take real good care of it so uh,It is important that I take care of my wife's car.,entailment,entailment
yeah it's just a matter of education i think,Yeah but education doesn't matter.,contradiction,contradiction
The disputes among nobles were not the first concern of ordinary French citizens.,One of the first concerns of the ordinary French citizens were the disputes among nobles.,contradiction,contradiction
"Under the default method, eighty percent of the total amount of sulfur dioxide allowances available for allocation each year will be allocated to Acid Rain Program units with coal as their primary or secondary fuel or residual oil as their primary fuel, listed in the Administrator's Emissions Scorecard 2000, Appendix B (2000 Data for SO2, NOx, CO2, Heat Input, and Other Parameters), Table B1 (All 2000 Data for All Units).","80% of the sulfur dioxide allowance for each year is in the Acid Rain Program, stemming from coal.",entailment,entailment
I felt like a rat.,I was upset with myself and felt bad.,neutral,neutral
ooh it's kind of tough to think of some of the others although i do watch some of some of those frivolous things uh like on Thursday nights at nine o'clock when i get home from aerobics i will watch uh Knots Landing,I take an aerobics class at nine o'clock.,contradiction,entailment
"1) Increased federal enforcement . Before Hoover's death, the FBI did not aggressively investigate the Mafia.",The Mafia were not aggressively investigated before Hoover's death.,entailment,entailment
"That couldn't happen in a sane world, either.",A meteor couldn't strike down in a sane world.,neutral,neutral
are you and since being Argentinean we also have a lot of pasta,Because we're Argentinean we like to eat pasta.,entailment,neutral
Energy-related activities are the primary source of U.S. man-made greenhouse gas emissions.,Producing dirty energy is the main source of US greenhouse gas emissions.,neutral,entailment
Jon shifted and the sword tip slid past.,The man tried again to stab him.,neutral,neutral
"Last year, Arafat cracked down on Hamas after a string of bombings in Tel Aviv and Jerusalem, arresting more than 1,200 suspected terrorists, destroying Hamas safe houses, and confiscating its weapons caches.",Arafat arrested over a thousand suspected terrorists.,entailment,entailment
"Robust  came in third among words and phrases submitted (220 citations in the CR ), and unlike the previous two, it seems to be a genuinely new cliche; at any rate, Chatterbox hadn't previously been aware of its overuse.",Robust is a legitimately new cliche unlike its predecessors.,neutral,entailment
"(As the old saying goes, If you can't figure out who the fool is at the poker table, it's probably you. ","If you can't figure out who the fool playing is, it's probably you.",entailment,entailment
